"순위","영화명","개봉일","매출액","매출액점유율","매출액증감(전일대비)","매출액증감율(전일대비)","누적매출액","관객수","관객수증감(전일대비)","관객수증감율(전일대비)","누적관객수","스크린수","상영횟수","대표국적","국적","제작사","배급사","등급","장르","감독","배우"
"49","너의 이름은.","2017-01-04",776000,0,776000,1,29561628456,97,97,1,3673492,1,1,"일본","일본","","메가박스(주)플러스엠","12세이상관람가","애니메이션,드라마,멜로/로맨스","신카이 마코토","카미키 류노스케,카미시라이시 모네,나가사와 마사미,이치하라 에수코,유키 아오이,시마자키 노부나가,이시카와 카이토,타니 카논"
"52","플립","2017-07-12",892500,0,572500,1.789,2817795900,96,57,1.462,354466,1,1,"미국","미국","","(주)팝엔터테인먼트","12세이상관람가","드라마,멜로/로맨스","롭 라이너","매들린 캐롤,캘런 맥오리피"
"53","태양을 향해 달려라","",182000,0,58000,0.468,460000,91,29,0.468,230,1,4,"미국","미국","유나이티드 아티스트","","","드라마,어드벤처","로이 부틀링","리차드 위드마크,트레버 하워드,제인 그리어,피터 반 에이크"
"54","애정이 꽃피는 나무","",162000,0,-2000,-0.012,6706000,81,-1,-0.012,2941,1,3,"미국","미국","메트로-골드윈-마이어","","","드라마,전쟁","에드워드 디미트릭","몽고메리 클리프트,엘리자베스 테일러,에바 마리 세인트"
"55","4등","2016-04-13",520000,0,520000,1,287442700,80,80,1,38772,1,1,"한국","한국","국가인권위원회,정지우 필름","(주)프레인글로벌,CGV아트하우스","15세이상관람가","드라마","정지우","박해준,이항나,유재상,최무성,정가람,유재명,남문철,이혁찬,임유진,이상혁,이승준,최은미,권세정"
"55","눈길","2017-03-01",520000,0,520000,1,974757100,80,80,1,130252,1,1,"한국","한국","KBS","(주)엣나인필름,CGV아트하우스","15세이상관람가","드라마","이나정","김영옥,김향기,김새론,조수향,서영주,장영남"
"57","엘리자의 내일","2017-08-10",570000,0,143000,0.335,31204100,72,4,0.059,4458,6,6,"루마니아","루마니아","","(주)영화사 진진","15세이상관람가","드라마","크리스티안 문쥬","아드리안 티티에니"
"58","글루미 선데이","2000-10-21",404000,0,-202500,-0.334,185439900,69,-23,-0.25,23654,1,1,"독일","독일","","(주)팝엔터테인먼트","18세관람가","드라마","롤프 슈벨","스테파노 디오니시,조아킴 크롤,에리카 마로잔,벤 베커"
"59","로우","2017-08-05",576000,0,-63000,-0.099,12189000,66,-5,-0.07,1406,1,1,"미국","미국","유니버설픽쳐스인터내셔널 코리아(유)","유니버설픽쳐스인터내셔널 코리아(유)","청소년관람불가","스릴러,공포(호러)","줄리아 듀코나우","가렌스 마릴러,엘라 룸프"
"60","이모티: 더 무비","2017-08-02",541000,0,310000,1.342,283475700,60,35,1.4,39186,3,3,"미국","미국","","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점","전체관람가","애니메이션,어드벤처","토니 레온디스","T.J. 밀러,제임스 코든,안나 패리스,패트릭 스튜어트"
"60","데이빗 보위: 지기 스타더스트 마지막 날들","",292000,0,62000,0.27,522000,60,14,0.304,106,1,1,"영국","영국","","","","다큐멘터리","",""
"62","레옹","1995-02-18",404500,0,404500,1,342158000,59,59,1,45155,1,1,"프랑스","프랑스","고몽","(주)팝파트너스","연소자관람불가,청소년관람불가","액션,범죄","뤽 베송","장 르노,게리 올드만,나탈리 포트만"
"62","미스터 쉐프","2017-08-18",396000,0,5000,0.013,3013500,59,-12,-0.169,483,4,5,"중국","중국","","즐감","12세이상관람가","드라마,코미디","엽위민","정용화,사정봉"
"64","올드보이","2003-11-21",315000,0,315000,1,1997980300,55,55,1,308416,1,1,"한국","한국","(주)에그필름,쇼이스트(주)","쇼이스트(주),씨제이이앤엠(주)","18세관람가","스릴러","박찬욱","최민식,유지태,강혜정,김병옥,오달수,이승신,윤진서,지대한,오태경,유연석,김원중,박재용,박지훈,한정옥,박근석,곽정애,임설아,박성규,오영주,임승용,최재섭,이대연,오광록,김수현,용이"
"65","기록작가 하야시 에이다이의 저항","",270000,0,155000,1.348,385000,54,25,0.862,83,1,1,"일본","일본","","","","다큐멘터리","",""
"66","기쿠지로의 여름","2002-08-30",228000,0,-84000,-0.269,15192000,53,-18,-0.254,2033,1,1,"일본","일본","","(주)영화사 진진,(주)튜브엔터테인먼트","전체관람가","코미디","기타노 다케시","기타노 다케시,세키구치 유스케"
"67","러브 인 프로방스","2015-10-08",156000,0,-30000,-0.161,43236600,52,-10,-0.161,5896,1,1,"프랑스","프랑스","","주식회사 쇼미미디어앤트레이딩","15세이상관람가","드라마","로젤린 보쉬","장 르노,안나 갈리에나"
"68","명탐정 코난: 순흑의 악몽","2016-08-03",296000,0,296000,1,3767773500,50,50,1,509108,1,1,"일본","일본","","씨제이이앤엠(주)","12세이상관람가","애니메이션,미스터리,어드벤처","시즈노 코분,야마모토 야스이치로",""
"69","극장판 짱구는 못말려 : 습격!! 외계인 덩덩이","2017-07-20",339000,0,304000,8.686,2411374700,47,43,10.75,332122,4,4,"일본","일본","","씨제이이앤엠(주)","전체관람가","애니메이션","하시모토 마사카즈","박영남,양정화,김환진,강희선,여민정,정유미,정혜옥,이장원"
"69","프랑스 영화학교 입시 전쟁","",235000,0,85000,0.567,435000,47,17,0.567,89,1,1,"프랑스","프랑스","","","","다큐멘터리","클레르 시몽",""
"69","워터 디바이너","2015-01-28",141000,0,141000,1,1008959235,47,47,1,136181,1,1,"미국","미국,호주,터키","","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마,전쟁","러셀 크로우","러셀 크로우,올가 쿠릴렌코,제이 코트니"
"69","헤드윅","2002-08-09",466000,0,445000,21.19,328366731,47,44,14.667,42136,1,1,"미국","미국","","(주)엣나인필름,(주)씨네월드","15세관람가,15세이상관람가","뮤지컬","존 카메론 밋첼","존 카메론 밋첼"
"73","아메리칸 허니: 방황하는 별의 노래","2017-07-13",442400,0,412400,13.747,72305300,46,43,14.333,8968,2,2,"영국","영국,미국","","(주)티캐스트","청소년관람불가","드라마","안드레아 아놀드","사샤 레인,샤이아 라보프,라일리 코프,윌 패튼"
"74","노무현입니다","2017-05-25",315000,0,297000,16.5,14554939612,45,42,14,1854868,1,1,"한국","한국","영화사 풀","CGV아트하우스,영화사 풀","12세이상관람가","다큐멘터리","이창재","노무현"
"75","메밀꽃, 운수 좋은 날, 그리고 봄봄","2014-08-21",84000,0,78000,13,224766200,42,39,13,34689,1,4,"한국","한국","(주)연필로명상하기,한국교육방송공사 EBS","이달투","전체관람가","애니메이션","안재훈,한혜진","장광,엄상현,류현경,강은탁"
"76","갈증","",280000,0,280000,1,280000,41,41,1,41,1,1,"인도","인도","","","","드라마,뮤지컬,멜로/로맨스","",""
"77","라스트맨 인 알레포","",195000,0,170000,6.8,220000,39,34,6.8,44,1,1,"덴마크","덴마크,독일,기타","","","","다큐멘터리","",""
"78","트루 로맨스","1993-12-24",194000,0,26000,0.155,606000,38,-1,-0.026,124,1,1,"미국","미국","","","고등학생이상관람가","드라마,범죄,멜로/로맨스","토니 스콧","크리스찬 슬레이터,패트리시아 아퀘트"
"79","아흔 살 소녀 블랑슈","",175000,0,127000,2.646,223000,35,25,2.5,45,1,1,"프랑스","프랑스","","","","다큐멘터리","",""
"80","불온한 당신","2017-07-20",251000,0,132000,1.109,30520700,33,15,0.833,4210,4,4,"한국","한국","움","무브먼트","15세이상관람가","다큐멘터리","이영",""
"81","서서평, 천천히 평온하게","2017-04-26",224000,0,-686000,-0.754,870486400,32,-98,-0.754,122149,1,1,"한국","한국","재단법인 온누리선교재단(CGNTV)","커넥트픽쳐스(주)","전체관람가","다큐멘터리","홍주연,홍현정","하정우,윤안나,안은새"
"82","빨간 마후라","",58000,0,-8000,-0.121,12841000,29,-4,-0.121,6397,1,3,"한국","한국","신필름","","12세이상관람가","액션,전쟁","신상옥","남궁원,윤인자,신영균,최무룡,최은희,이대엽"
"82","프란츠","2017-07-20",252000,0,-132000,-0.344,146610100,29,-20,-0.408,20169,1,2,"프랑스","프랑스","","찬란","12세이상관람가","멜로/로맨스,드라마","프랑소와 오종","피에르 니네이,폴라 비어"
"82","댄서","2017-04-13",282000,0,268000,19.143,362010049,29,27,13.5,44781,1,1,"영국","영국,러시아,우크라이나,미국","","(주)엣나인필름","15세이상관람가","다큐멘터리","스티븐 캔터","세르게이 폴루닌"
"82","제16회 미쟝센 단편영화제 수상작 특별전 단편섹션 1","",145000,0,105000,2.625,185000,29,21,2.625,37,1,1,"한국","한국","","","","기타","",""
"82","도슨 시티: 얼어붙은 시간","",145000,0,136000,15.111,154000,29,26,8.667,32,1,1,"미국","미국","","","","다큐멘터리","",""
"82","풀 스피드","2017-08-24",189000,0,18400,0.108,3419800,29,4,0.16,444,7,7,"프랑스","프랑스","","(주)스마일이엔티","15세이상관람가","코미디","니콜라스 베나무","호세 가르시아,앙드레 뒤솔리에"
