POI ID,대명칭,중명칭,소명칭,중앙좌표X1,중앙좌표Y1,WSG84X좌표,WSG84Y좌표,등록일자,수정일자
POI_ID,FNAME,ANAME,CNAME,CENTER_X1,CENTER_Y1,X_WGS84,Y_WGS84,INSERTDATE,UPDATEDATE
102552,성원개발,개방,,205417.8561,445272.208,127.061276,37.50690459,20100712,20100712
102487,동도상가,개방,,203344.5609,447643.8007,127.0378378,37.52828255,20100712,20100712
102488,동서상가,개방,,203436.0652,447613.4224,127.0388729,37.52800851,20100712,20100712
102543,야구회관,개,,202888.5694,443213.5206,127.0326617,37.48836706,20100712,20100712
102544,성담빌딩,개방,,204489.0285,445146.377,127.0507702,37.50577583,20100712,20100712
102500,중구청소년수련관,개방,유,201102.3538,450271.2348,127.0124751,37.55196114,20100712,20100712
102502,케이티중앙지사,개방,,198467.8146,451370.9316,126.9826583,37.56186876,20100712,20100712
102392,GS휘경주유소화장실,개방,무,205930.5817,454628.97,127.0671505,37.59120568,20100712,20100712
102393,팔팔주유소화장실,개방,무,197058.2676,443097.8839,126.9667377,37.487325,20100712,20100712
102394,남성주유소화장실,개방,무,198405.4088,443255.6097,126.9819695,37.48874943,20100712,20100712
102413,길동해뜨는주유소화장실,개방,무,212919.3835,448517.1522,127.1461751,37.53606706,20100712,20100712
102414,길동주유소화장실,개방,무,212478.4344,448230.706,127.1411812,37.53349225,20100712,20100712
102534,화성빌딩,민간개방화장실,,191055.2859,439781.9506,126.898902,37.45740954,20100712,20100712
102535,강강술래,민간개방화장실,,191278.9631,439046.1586,126.9014388,37.4507821,20100712,20100712
102537,김안과병원,민간개방화장실,,191291.7217,446711.3616,126.9014923,37.51984624,20100712,20100712
102546,약사신용조합,민간개방화장실,,196431.949,442167.3704,126.9596604,37.47893879,20100712,20100712
102547,도시의빛2,개방,,202531.2652,443941.2335,127.028624,37.49492486,20100712,20100712
102548,대원빌딩,개방,,202256.8353,444661.3357,127.0255229,37.50141373,20100712,20100712
102549,프레스티지빌딩,개방,,202687.0369,443939.3317,127.0303855,37.49490728,20100712,20100712
102499,종이나라,개방,,200535.9004,451131.847,127.0060653,37.55971574,20100712,20100712
102473,세영정형외과,민간개방화장실,,191536.6661,442252.2581,126.9043144,37.47967178,20100712,20100712
102474,관악농협,민간개방화장실,무,191399.6369,442225.2645,126.9027655,37.4794273,20100712,20100712
102475,예가람상호은행,민간개방화장실,,190098.026,447048.8839,126.8879848,37.52287528,20100712,20100712
102476,삼환상가제중한의원,민간개방화장실,,190012.2128,447064.7907,126.8870138,37.52301768,20100712,20100712
102532,협진축산물도매시장,민간개방화장실,,190824.6436,440776.5102,126.8962828,37.46636836,20100712,20100712
102533,노보텔,민간개방화장실,유,191013.6561,440916.9371,126.8984176,37.46763548,20100712,20100712
102368,연대앞공중화장실,공중,유,194198.1057,451173.6142,126.934334,37.56007395,20100712,20100712
102369,홍제3공중화장실,공중,유,195384.1979,454998.6371,126.9477341,37.59454388,20100712,20100712
102370,만리공중화장실,공중,무,196664.1818,450267.3448,126.9622492,37.55192071,20100712,20100712
102506,둔촌2동주민센터,공공기관,,212549.5328,448217.9911,127.1419854,37.53337673,20100712,20100712
102507,고덕소방관피출소,공공기관,무,213432.5001,450866.7471,127.1520237,37.55722948,20100712,20100712
102406,정릉1호공중화장실,공중,무,200500.7111,457685.0506,127.0056715,37.61875963,20100712,20100712
102410,새내쉼터화장실,공중,유,209516.9427,445854.1259,127.1076441,37.51211454,20100712,20100712
102411,오금공원테니스장화장실,공중,유,211847.6805,444624.5338,127.1339867,37.50100892,20100712,20100712
102412,개롱공원관리동화장실,공중,무,211502.8131,443783.5083,127.1300735,37.4934356,20100712,20100712
102448,삼선빌딩,개방,,197976.8024,450874.3405,126.9771022,37.55739355,20100712,20100712
102449,전국은행연합회,개방,,198719.0893,451729.3916,126.9855016,37.56509886,20100712,20100712
102489,그랜드프라자,개방,,210598.0597,445898.3684,127.119873,37.51250139,20100712,20100712
102490,홍진빌딩,개방,,212498.5967,444663.1348,127.1413487,37.50134814,20100712,20100712
102562,대한생명빌딩,개방,,197837.7027,450897.8773,126.9755279,37.5576053,20100712,20100712
102465,강북종합시장개방화장실,개방,무,202265.9448,460278.4952,127.0256742,37.64212355,20100712,20100712
102529,은혜교회,민간개방화장실,,187172.8293,445283.3856,126.8549246,37.50693211,20100712,20100712
102531,성신고려의원,민간개방화장실,,190634.5178,440816.6004,126.8941331,37.46672767,20100712,20100712
102407,공릉동공중화장실,공중,무,207677.4952,457923.5452,127.0869649,37.62087653,20100712,20100712
102408,벽운공중화장실,공중,유,205047.3096,464519.8484,127.0572177,37.68032627,20100712,20100712
102466,동북쇼핑개방화장실,개방,무,201655.0291,457845.3485,127.0187468,37.62020254,20100712,20100712
102467,적암빌딩개방화장실,개방,유,194695.5676,450697.4814,126.9399677,37.55578701,20100712,20100712
102540,오송빌딩,민간개방화장실,무,198415.3818,443318.5949,126.9820822,37.48931695,20100712,20100712
102541,태농빌딩,민간개방화장실,유,198363.0868,442604.732,126.9814924,37.48288489,20100712,20100712
102542,청화병원,민간개방화장실,,194717.3057,445311.2972,126.9402524,37.50725757,20100712,20100712
102419,대우메트로빌개방화장실,개방,유,195839.8505,449322.6029,126.9529258,37.54340525,20100712,20100712
102420,마포창업복지관개방화장실,개방,유,190280.7761,452757.4993,126.8899766,37.57431168,20100712,20100712
102421,중앙하이츠상가,민간개방화장실,,195575.3909,444438.1977,126.9499627,37.49939541,20100712,20100712
102422,광진빌딩,민간개방화장실,유,190168.0057,443936.6096,126.888818,37.49483435,20100712,20100712
102396,21세기주유소화장실,개방,무,191645.1737,443084.4008,126.9055318,37.48717043,20100712,20100712
102397,동아주유소화장실,개방,무,193746.8307,450892.7503,126.9292288,37.55754043,20100712,20100712
102398,망원동주유소화장실,개방,무,191806.9716,451027.1748,126.9072727,37.55873639,20100712,20100712
102469,동양한강트레빌개방화장실,개방,유,192475.3165,450005.2091,126.9148474,37.54953421,20100712,20100712
102470,성지빌딩개방화장실,개방,무,195254.5817,449096.1098,126.9463046,37.54136172,20100712,20100712
102471,DMC산학연구개방화장실,개방,유,190337.8454,452945.3924,126.8906201,37.57600519,20100712,20100712
102472,동성빌딩,민간개방화장실,무,191390.8553,440569.9075,126.9026856,37.4645123,20100712,20100712
102525,택민빌딩,민간개방화장실,,188211.2472,450035.9109,126.8665929,37.54976617,20100712,20100712
102526,등촌빌딩,민간개방화장실,무,187858.5086,449521.2924,126.8626096,37.5451249,20100712,20100712
102527,(주)새서울개발주차장,민간개방화장실,무,184846.3366,448161.2218,126.8285528,37.53282614,20100712,20100712
102384,중계주유소화장실,개방,무,205172.0307,461706.6299,127.0586116,37.65497904,20100712,20100712
102385,하계삼호주유소화장실,개방,무,206382.6841,459332.7812,127.0723105,37.63358344,20100712,20100712
102386,하계주유소화장실,개방,무,206213.3612,460280.7378,127.0704003,37.64212554,20100712,20100712
102390,대경주유소화장실,개방,무,203834.9704,462976.9195,127.0434662,37.66643066,20100712,20100712
102391,한영주유소화장실,개방,무,205070.2681,454325.507,127.0574073,37.58847664,20100712,20100712
102377,파리공원화장실,공중,무,189131.9032,448372.8224,126.8770361,37.53479309,20100712,20100712
102378,오목공원화장실,공중,유,188800.3868,447620.1675,126.8732967,37.52800771,20100712,20100712
102379,양천공원화장실,공중,유,188346.6429,446512.07,126.868181,37.51801814,20100712,20100712
102387,도봉산입구무인자동화장실,공중,무,203967.4066,465427.7651,127.0449806,37.6885117,20100712,20100712
102388,다락원주유소화장실,개방,무,204000.7744,465408.8128,127.0453588,37.6883408,20100712,20100712
102375,잔다리공중화장실,공중,유,192294.3466,450568.8194,126.9127935,37.55461082,20100712,20100712
102376,와우산공중화장실,공중,무,193736.8007,450278.7445,126.9291205,37.55200819,20100712,20100712
102371,홍익공중화장실,공중,무,193225.4669,450308.0232,126.9233336,37.55226837,20100712,20100712
102373,노고산2공중화장실,공중,무,194236.1154,450514.7166,126.9347693,37.55413754,20100712,20100712
102374,서교1공중화장실,공중,무,192526.3643,450268.9901,126.9154224,37.55191128,20100712,20100712
102380,신트리공원화장실,공중,유,187314.7491,446136.562,126.856515,37.5146212,20100712,20100712
102381,노원주유소화장실,개방,무,206634.1102,457852.9424,127.0751456,37.62024852,20100712,20100712
102382,삼육주유소화장실,개방,무,209748.539,460005.1325,127.1104518,37.63961168,20100712,20100712
102383,상계주유소화장실,개방,무,205844.6596,461809.9418,127.066235,37.65590582,20100712,20100712
102365,역말공중화장실,공중,유,192418.7548,456363.4709,126.9141415,37.60682125,20100712,20100712
102366,신흥공중화장실,공중,무,192216.895,455170.6156,126.9118681,37.59607206,20100712,20100712
102367,창서공원공중화장실,공중,유,194303.6168,450813.3029,126.9355309,37.55682822,20100712,20100712
99997,동대문운동장공중화장실,공중,유,201069.6757,451967.9152,127.0121078,37.56724822,20101111,20101111
99998,동양생명,개방,,198810.0652,451741.5735,126.9865314,37.56520874,20101111,20101111
99999,가양지구대,공공청사,무,186762.4315,451092.4192,126.8501784,37.55926559,20101111,20101111
A01357,송파주유소화장실,개방,무,212765.0193,443812.196,127.1443469,37.4936775,20100712,20100712
A01379,남성주유소화장실,개방,무,210079.8832,445902.5612,127.1140121,37.51254497,20100712,20100712
A00540,불암산공중화장실,공중,무,207011.8964,462483.947,127.0794692,37.66197031,20100712,20100712
A00541,잠실4동주민센터,공공청사,유,209923.0085,446747.5861,127.1122491,37.52016036,20101111,20101111
A00542,노해공중화장실,공중,유,206275.2387,461007.2651,127.0711077,37.64867101,20100712,20100712
A00550,한글비공중화장실,공중,무,206506.836,460592.9847,127.0737283,37.6449368,20100712,20100712
A00446,중화리공중화장실,공중,유,207109.4523,456063.3545,127.0805124,37.604121,20100712,20100712
A00456,안암동공중화장실,공중,유,201905.2232,453972.6347,127.0215707,37.58530928,20100712,20100712
A00457,양재1동우면주민센터,공공청사,유,202362.6762,441360.69,127.0267093,37.47167439,20101111,20101111
A00458,북선공중화장실,공중,유,202523.9674,455198.2094,127.0285802,37.59635012,20100712,20100712
A00459,서초3동주민센터,공공청사,유,201106.6994,442687.0879,127.0125129,37.48362771,20101111,20101111
A00460,장위3동공중화장실,공중,무,204629.2526,457919.407,127.0524367,37.62085964,20100712,20100712
A00461,방배2동주민센터,공공청사,유,198722.5721,442257.6479,126.9855575,37.4797582,20101111,20101111
A00451,잠원동주민센터/반포지구대관제센터,공공청사,유,201242.9357,446161.1519,127.0140591,37.51492907,20101111,20101111
A00452,신내공원화장실,공중,유,207874.8021,457136.8791,127.0891913,37.6137871,20100712,20100712
A00407,장독골공원화장실,공중,무,206867.8853,448478.2032,127.0777057,37.53578103,20100712,20100712
A00408,마포소방서,공공청사,유,194095.1535,450000.7453,126.9331782,37.54950578,20101111,20101111
A00547,잠실6동주민센터,공공청사,유,208899.0066,446519.8763,127.1006628,37.51811913,20101111,20101111
A00548,등나무공중화장실,공중,유,205923.9733,460058.0183,127.0671196,37.64012079,20100712,20100712
A00410,염리파출소,공공청사,유,195195.4884,449144.6826,126.9456356,37.54179906,20101111,20101111
A00411,한아름공원화장실,공중,무,206159.7092,449118.1751,127.0696986,37.54155217,20100712,20100712
A00532,발바닥공원화장실,공중,유,202751.7923,462238.6696,127.0311865,37.65978306,20100712,20100712
A00238,"상계3,4동주민센터",공공청사,유,207348.0575,463706.6461,127.0832914,37.67298395,20101111,20101111
A00239,구기동공중화장실,공중,유,196152.105,456668.2468,126.9564205,37.60959043,20100712,20100712
A00240,상계8동주민센터,공공청사,유,204549.9937,463018.5316,127.0515706,37.66680232,20101111,20101111
A00241,창신동공중화장실,공중,유,201108.9452,453208.4762,127.0125542,37.57842556,20100712,20100712
A00486,솔샘어린이공원화장실,공중,무,202389.0295,457617.9762,127.0270601,37.61815233,20100712,20100712
A00487,옥수동주민센터,공공청사,유,201189.5697,449359.5437,127.0134607,37.5437467,20101111,20101111
A00496,벌리어린이공원화장실,공중,무,203923.4014,458664.8836,127.0444453,37.62757956,20100712,20100712
A00497,용답동주민센,공공청사,유,204909.8876,451618.48,127.0555733,37.56408736,20101111,20101111
A00498,오현어린이공원화장실,공중,무,204103.8864,458238.7709,127.0464875,37.62373956,20100712,20100712
A00549,오륜동주민센터,공공청사,유,211872.7564,446227.4241,127.1342962,37.51545068,20101111,20101111
A00534,장위3동주민센터,공공청사,유,204999.0242,457446.7523,127.0566219,37.61659914,20101111,20101111
A00522,은행나무공원화장실,공중,유,203864.5567,461114.3935,127.0437917,37.64964952,20100712,20100712
A00523,돈암1동주민센터,공공청사,무,202331.2027,455983.7199,127.0263999,37.60342801,20101111,20101111
A00524,뱃골공원화장실,공중,유,203973.096,460773.9865,127.0450197,37.64658205,20100712,20100712
A00537,노원골공중화장실,공중,무,205476.0617,463896.9955,127.0620735,37.67471204,20100712,20100712
A00440,양지공중화장실,공중,무,207872.5393,454535.2597,127.0891377,37.5903468,20100712,20100712
A00441,서초4동주민센터,공공청사,유,201357.7791,444051.4359,127.0153542,37.49592026,20101111,20101111
A00442,봉화공중화장실,공중,유,206839.3308,455401.4414,127.0774472,37.59815927,20100712,20100712
A00462,상월곡동공중화장실,공중,무,203994.0718,456762.4887,127.0452355,37.61043892,20100712,20100712
A00463,방배3동주민센터,공공청사,유,199916.265,442325.4962,126.9990533,37.4803704,20101111,20101111
A00205,구로1치안센터,공공청사,무,188961.4842,443531.9458,126.8751806,37.49117468,20101111,20101111
A00206,계남근린공원입구화장실,공중,무,187122.2824,445345.5691,126.8543519,37.50749168,20100712,20100712
A00208,고척근린공원소공원화장실,공중,무,186962.2706,444896.9566,126.8525501,37.50344743,20100712,20100712
A00453,서초1동주민센터,공공청사,유,201684.7167,443262.8379,127.0190496,37.48881439,20101111,20101111
A00418,홍제제2동주민센터,공공청사,유,195530.8665,454060.292,126.9494006,37.58609019,20101111,20101111
A00419,중랑천제방2화장실,공중,무,206913.983,452045.0855,127.0782609,37.5679182,20100712,20100712
A00420,신촌동주민센터,공공청사,유,195007.9213,451115.4365,126.9434999,37.55955452,20101111,20101111
A00421,평강공원화장실,공중,무,208898.1608,449844.0718,127.1006935,37.54807013,20100712,20100712
A00428,긴고랑어린이공원화장실,공중,무,208046.3192,451046.1249,127.0910671,37.55890842,20100712,20100712
A00429,연회동주민센터,공공청사,유,194283.8359,452711.708,126.9352923,37.57393264,20101111,20101111
A00430,전농2공중화장실,공중,무,204471.2322,453703.7144,127.050621,37.58287744,20100712,20100712
A00482,한빛어린이공원화장실,공중,무,202020.676,458680.7812,127.0228908,37.62772895,20100712,20100712
A00483,왕십리제2동주민센터,공공청사,유,202696.7075,451284.4935,127.0305218,37.56108729,20101111,20101111
A00492,버드나무어린이공원화장실,공중,무,203027.8865,459383.7355,127.0343037,37.6340597,20100712,20100712
A00089,체육광장공중화장실,공중,유,191435.4748,453873.077,126.9030349,37.58437441,20100712,20100712
A00090,남현동주민센터,공공청사,유,198039.4671,441697.4975,126.9778359,37.47470999,20101111,20101111
A00091,새락골공원화장실,공중,유,192159.2747,455493.0091,126.9112122,37.5989763,20100712,20100712
A00488,번남어린이공원화장실,공중,무,202202.0546,459574.8758,127.0249482,37.6357842,20100712,20100712
A00489,송정동주민센터,공공청사,유,206147.0673,450557.5753,127.0695676,37.55452123,20101111,20101111
A00454,봉수대공원화장실,공중,유,208082.3133,456343.8796,127.0915329,37.60664047,20100712,20100712
A00425,남가좌제2동주민센터,공공청사,유,193277.5684,453209.5215,126.9238966,37.57841112,20101111,20101111
A00490,샛강어린이공원화장실,공중,유,202912.5475,459970.571,127.0329993,37.63934738,20100712,20100712
A00491,마장동주민센터,공공청사,무,204016.6922,451863.9278,127.0454648,37.56630316,20101111,20101111
A00470,꿈나라어린이공원화장실,공중,유,202036.4378,453390.7944,127.0230546,37.58006665,20100712,20100712
A00471,양재1동주민센터,공공청사,유,203192.592,442783.7006,127.0360974,37.48449335,20101111,20101111
A00531,석관동주민센터,공공청사,유,205422.6572,457045.4241,127.0614173,37.61298082,20101111,20101111
A00552,풍납1동주민센터,공공청사,유,210790.3237,448736.619,127.1220894,37.53807181,20101111,20101111
A00553,충숙공중화장실,공중,유,206852.2332,460082.5397,127.0776372,37.64033527,20100712,20100712
A00539,장위2동주민센터,공공청사,유,204816.3771,456979.8764,127.0545501,37.61239362,20101111,20101111
A00396,상암동주민센터,공공청사,유,190703.4774,453203.872,126.8947559,37.57833783,20101111,20101111
A00397,목련공원화장실,공중,무,208001.5971,449015.4665,127.0905388,37.54061263,20100712,20100712
A00409,금모래공원화장실,공중,무,207286.9378,447859.4951,127.0824409,37.53020325,20100712,20100712
A00535,월천근린공원화장실,공중,유,204492.1551,460884.3301,127.050902,37.64757383,20100712,20100712
A00242,"상계6,7동주민센터",공공청사,유,205912.1567,461700.5004,127.066999,37.65491935,20101111,20101111
A00243,창경궁공중화장실,공중,유,199718.1282,453375.2942,126.9968089,37.57992921,20100712,20100712
A00536,종암1동주민센터,공공청사,무,202782.2523,455610.5144,127.0315065,37.60006421,20101111,20101111
A00500,금호1가동주민센터,공공청사,유,201914.9352,450594.7786,127.0216718,37.55487493,20101111,20101111
A00464,성북2동공중화장실,공중,무,199455.5762,455186.9118,126.9938352,37.59625163,20100712,20100712
A00465,방배1동주민센터,공공청사,유,199513.0804,442655.9949,126.9944947,37.4833481,20101111,20101111
A00472,삼선어린이공원화장실,공중,무,200796.1215,453645.4478,127.0090132,37.58236297,20100712,20100712
A00473,응봉동주민센터,공공청사,유,202953.2043,450403.1958,127.0334214,37.55314603,20101111,20101111
A00525,정릉2동주민센터,공공청사,무,200987.6382,456096.9265,127.0111848,37.60445041,20101111,20101111
A00526,창골공원화장실,공중,유,204292.2013,460386.0896,127.0486333,37.64308573,20100712,20100712
A00527,성북동주민센터,공공청사,유,200288.3522,454608.3063,127.0032649,37.59103856,20101111,20101111
A00545,장지동주민센터,공공청사,유,211710.3454,443067.0096,127.1324088,37.48697731,20101111,20101111
A00546,중계공중화장실,공중,유,205806.7953,460011.3773,127.0657916,37.63970131,20100712,20100712
A00484,응달어린이공원화장실,공중,무,202145.4116,457625.0079,127.0243007,37.61821628,20100712,20100712
A00485,행당제1동주민센터,공공청사,무,203195.9389,450994.0512,127.036171,37.55846882,20101111,20101111
A00493,성수2가제3동주민센터,공공청사,유,204890.2461,449856.025,127.0553392,37.5482078,20101111,20101111
A00494,벌말어린이공원화장실,공중,무,203517.0621,458901.8834,127.0398433,37.62971654,20100712,20100712
