"전철역코드","전철역명","호선","외부코드","전철역_ko","lon","lat","address"
1762,"오이도","4","456","오이도역&language=ko",126.738437,37.361773,"시흥시 정왕동 오이도역"
1763,"수리산","4","445","수리산역&language=ko",126.925537,37.350297,"군포시 산본동 수리산역"
1802,"오류동","1","144","오류동역&language=ko",126.844551,37.4944,"서울특별시 오류2동 오류동역"
1803,"역곡","1","146","역곡역&language=ko",126.811523,37.485127,"부천시 괴안동 역곡"
1805,"송내","1","150","송내역&language=ko",126.753045,37.487626,"부천시 송내1동 송내역"
1806,"부평","1","152","부평역&language=ko",126.723469,37.490473,"인천광역시 부평동 부평역"
1808,"동암","1","154","동암역&language=ko",126.702884,37.470869,"인천광역시 십정동 동암역"
1809,"주안","1","156","주안역&language=ko",126.679954,37.465035,"대한민국 부천시 주안동 주안역"
1810,"제물포","1","158","제물포역&language=ko",126.657165,37.466809,"인천광역시 도화동 제물포역"
1812,"인천","1","161","인천역&language=ko",126.616936,37.476364,"인천광역시 북성동 인천역"
1813,"구일","1","142","구일역&language=ko",126.869599,37.496273,"서울특별시 구로동 구일역"
1814,"소사","1","147","소사역&language=ko",126.795654,37.482755,"부천시 소사동 소사역"
1816,"간석","1","155","간석역&language=ko",126.693408,37.464689,"인천광역시 간석동 간석역"
1817,"도원","1","159","도원역&language=ko",126.642824,37.468604,"인천광역시 숭의동 도원역"
1822,"중동","1","149","중동역&language=ko",126.764474,37.486664,"부천시 상동 중동역"
1823,"도화","1","157","도화역&language=ko",126.668758,37.466109,"인천광역시 도화동 도화역"
1846,"수원","B","K245","수원역&language=ko",127.000223,37.265669,"수원시 매산로1가 수원역"
1847,"서울숲","B","K211","서울숲역&language=ko",127.044686,37.543647,"서울특별시 성수동1가 서울숲역"
1848,"압구정로데오","B","K212","압구정로데오역&language=ko",127.040555,37.527385,"서울특별시 신사동 압구정로데오역"
1850,"선정릉","B","K214","선정릉역&language=ko",127.0443439,37.5105544,"서울특별시 삼성동 선정릉역"
1851,"가천대","B","K223","가천대역&language=ko",127.126677,37.448784,"성남시 태평동 가천대역"
1853,"모란","B","K225","모란역&language=ko",127.129064,37.432124,"성남시 성남동 모란역"
1854,"야탑","B","K226","야탑역&language=ko",127.128661,37.41132,"성남시 야탑동 야탑역"
1856,"수내","B","K229","수내역&language=ko",127.114216,37.378435,"성남시 수내동 수내역"
1857,"정자","B","K230","정자역&language=ko",127.10809,37.366037,"성남시 정자동 정자역"
1859,"오리","B","K232","오리역&language=ko",127.108985,37.339832,"성남시 구미동 오리역"
1860,"이매","B","K227","이매역&language=ko",127.128272,37.395846,"성남시 이매동 이매역"
1862,"죽전","B","K233","죽전역&language=ko",127.107385,37.324575,"용인시 죽전동 죽전역"
1863,"구성","B","K235","구성역&language=ko",127.105664,37.299013,"용인시 마북동 구성역"
1865,"기흥","B","K237","기흥역&language=ko",127.115944,37.275657,"용인시 구갈동 기흥역"
1866,"상갈","B","K238","상갈역&language=ko",127.108718,37.261797,"용인시 상갈동 상갈역"
1868,"영통","B","K240","영통역&language=ko",127.07134,37.251521,"수원시 영통동 영통역"
1869,"망포","B","K241","망포역&language=ko",127.057364,37.245799,"수원시 영통동 망포역"
1871,"수원시청","B","K243","수원시청역&language=ko",127.030736,37.261941,"수원시 인계동 수원시청역"
1872,"매교","B","K244","매교역&language=ko",127.015657,37.265502,"수원시 매교동 매교역"
1879,"월곶","SU","K252","월곶역&language=ko",126.742693,37.391813,"시흥시 군자동 월곶역"
1880,"소래포구","SU","K253","소래포구역&language=ko",126.733533,37.400963,"인천광역시 논현동 소래포구역"
1881,"인천논현","SU","K254","인천논현역&language=ko",126.722495,37.400641,"인천광역시 논현2동 인천논현역"
1883,"남동인더스파크","SU","K256","남동인더스파크역&language=ko",126.695235,37.407772,"인천광역시 논현동 남동인더스파크역"
1884,"원인재","SU","K257","원인재역&language=ko",126.687829,37.41233,"인천광역시 연수2동 원인재역"
1885,"연수","SU","K258","연수역&language=ko",126.678991,37.417769,"인천광역시 연수동 연수역"
1902,"도봉","1","114","도봉역&language=ko",127.045521,37.679441,"서울특별시 도봉동 도봉역"
1903,"도봉산","1","113","도봉산역&language=ko",127.046347,37.689603,"서울특별시 도봉동 도봉산역"
1905,"회룡","1","111","회룡역&language=ko",127.047319,37.724037,"의정부시 호원2동 회룡역"
1906,"의정부","1","110","의정부역&language=ko",127.045998,37.738424,"의정부시 의정부2동 의정부역"
1908,"녹양","1","108","녹양역&language=ko",127.042272,37.759416,"의정부시 녹양동 녹양역"
1909,"양주","1","107","양주역&language=ko",127.044782,37.773956,"양주시 남방동 양주역"
1910,"덕계","1","106","덕계역&language=ko",127.056676,37.81876,"양주시 덕계동 덕계역"
1912,"지행","1","104","지행역&language=ko",127.055734,37.892361,"동두천시 지행동 지행역"
1913,"동두천중앙","1","103","동두천중앙역&language=ko",127.056409,37.901673,"동두천시 생연동 동두천중앙역"
1915,"동두천","1","101","동두천역&language=ko",127.054992,37.926664,"동두천시 동두천동 동두천역"
1916,"소요산","1","100","소요산역&language=ko",127.060681,37.947099,"동두천시 상봉암동 소요산역"
1917,"마전(무정차)","1","759","마전(무정차)역&language=ko",127.9054906,38.8991087,"조선민주주의인민공화국 강원도 역"
1024,"한티","B","k216","한티역&language=ko",127.052883,37.496208,"서울특별시 대치동 한티역"
1026,"구룡","B","k218","구룡역&language=ko",127.059496,37.486985,"서울특별시 개포동 구룡역"
1027,"개포동","B","k219","개포동역&language=ko",127.066502,37.489167,"서울특별시 개포2동 개포동역"
1028,"대모산입구","B","k220","대모산입구역&language=ko",127.072702,37.491347,"서울특별시 일원2동 대모산입구역"
1031,"복정","B","K222","복정역&language=ko",127.126743,37.470997,"서울특별시 장지동 복정역"
1032,"신길","1","138","신길역&language=ko",126.917743,37.517018,"서울특별시 신길1동 신길역"
1200,"회기","K","K118","회기역&language=ko",127.058018,37.58971,"서울특별시 휘경동 회기역"
1201,"중랑","K","K119","중랑역&language=ko",127.076152,37.594948,"서울특별시 중화동 중랑역"
1202,"상봉","K","K120","상봉역&language=ko",127.085721,37.595619,"서울특별시 상봉동 상봉역"
1204,"양원","K","K122","양원역&language=ko",127.108067,37.606639,"서울특별시 망우동 양원역"
1205,"구리","K","K123","구리역&language=ko",127.143738,37.603404,"구리시 인창동 구리역"
1207,"양정","K","K125","양정역&language=ko",129.071356,35.173144,"부산광역시 양정2동 양정역"
1208,"덕소","K","K126","덕소역&language=ko",127.208547,37.587199,"남양주시 와부읍 덕소역"
1210,"팔당","K","K128","팔당역&language=ko",127.243813,37.547376,"남양주시 와부읍 팔당역"
